match_number,stage,group,date,time_et,time_local,team_a,team_b,venue,city,country,status
1,Group Stage,A,2026-06-11,15:00,13:00,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,confirmed_group_fixture
2,Group Stage,A,2026-06-11,22:00,20:00,Korea Republic,Czechia,Estadio Akron,Guadalajara,Mexico,confirmed_group_fixture
3,Group Stage,B,2026-06-12,15:00,15:00,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,confirmed_group_fixture
4,Group Stage,D,2026-06-12,21:00,18:00,United States,Paraguay,SoFi Stadium,Los Angeles,United States,confirmed_group_fixture
5,Group Stage,C,2026-06-13,21:00,21:00,Haiti,Scotland,Gillette Stadium,Boston,United States,confirmed_group_fixture
6,Group Stage,D,2026-06-13,00:00,21:00,Australia,Türkiye,BC Place,Vancouver,Canada,confirmed_group_fixture
7,Group Stage,C,2026-06-13,18:00,18:00,Brazil,Morocco,MetLife Stadium,New York/New Jersey,United States,confirmed_group_fixture
8,Group Stage,B,2026-06-13,15:00,12:00,Qatar,Switzerland,Levi's Stadium,San Francisco Bay Area,United States,confirmed_group_fixture
9,Group Stage,E,2026-06-14,19:00,19:00,Côte d’Ivoire,Ecuador,Lincoln Financial Field,Philadelphia,United States,confirmed_group_fixture
10,Group Stage,E,2026-06-14,13:00,12:00,Germany,Curaçao,NRG Stadium,Houston,United States,confirmed_group_fixture
11,Group Stage,F,2026-06-14,16:00,15:00,Netherlands,Japan,AT&T Stadium,Dallas,United States,confirmed_group_fixture
12,Group Stage,F,2026-06-14,22:00,20:00,Sweden,Tunisia,Estadio BBVA,Monterrey,Mexico,confirmed_group_fixture
13,Group Stage,H,2026-06-15,18:00,18:00,Saudi Arabia,Uruguay,Hard Rock Stadium,Miami,United States,confirmed_group_fixture
14,Group Stage,H,2026-06-15,12:00,12:00,Spain,Cabo Verde,Mercedes-Benz Stadium,Atlanta,United States,confirmed_group_fixture
15,Group Stage,G,2026-06-15,21:00,18:00,Iran,New Zealand,SoFi Stadium,Los Angeles,United States,confirmed_group_fixture
16,Group Stage,G,2026-06-15,15:00,12:00,Belgium,Egypt,Lumen Field,Seattle,United States,confirmed_group_fixture
17,Group Stage,I,2026-06-16,15:00,15:00,France,Senegal,MetLife Stadium,New York/New Jersey,United States,confirmed_group_fixture
18,Group Stage,I,2026-06-16,18:00,18:00,Iraq,Norway,Gillette Stadium,Boston,United States,confirmed_group_fixture
19,Group Stage,J,2026-06-16,21:00,20:00,Argentina,Algeria,Arrowhead Stadium,Kansas City,United States,confirmed_group_fixture
20,Group Stage,J,2026-06-16,00:00,21:00,Austria,Jordan,Levi's Stadium,San Francisco Bay Area,United States,confirmed_group_fixture
21,Group Stage,L,2026-06-17,19:00,19:00,Ghana,Panama,BMO Field,Toronto,Canada,confirmed_group_fixture
22,Group Stage,L,2026-06-17,16:00,15:00,England,Croatia,AT&T Stadium,Dallas,United States,confirmed_group_fixture
23,Group Stage,K,2026-06-17,13:00,12:00,Portugal,Congo DR,NRG Stadium,Houston,United States,confirmed_group_fixture
24,Group Stage,K,2026-06-17,22:00,20:00,Uzbekistan,Colombia,Estadio Azteca,Mexico City,Mexico,confirmed_group_fixture
25,Group Stage,A,2026-06-18,12:00,12:00,Czechia,South Africa,Mercedes-Benz Stadium,Atlanta,United States,confirmed_group_fixture
26,Group Stage,B,2026-06-18,15:00,12:00,Switzerland,Bosnia and Herzegovina,SoFi Stadium,Los Angeles,United States,confirmed_group_fixture
27,Group Stage,B,2026-06-18,18:00,15:00,Canada,Qatar,BC Place,Vancouver,Canada,confirmed_group_fixture
28,Group Stage,A,2026-06-18,21:00,19:00,Mexico,Korea Republic,Estadio Akron,Guadalajara,Mexico,confirmed_group_fixture
